song:krs_1_mc_s_act_like_they_don_t_know	in_key_root	key:D
song:allegro_jazz_band_concert_suite_movement_1	has_tempo	tempo:fast
album:lou_donaldson_alligator_boogaloo	album_artist	artist:lou_donaldson
song:isaac_hayes_the_insurance_company	has_mode	mode:minor
song:n_tyce_sure_ya_right_les_remix	suitable_for	set:build
song:maestro_fresh_wes_fine_tune_da_mic	has_tempo	tempo:mid_tempo
song:plamya_side_2_track_3	has_tempo	tempo:uptempo
album:jamey_abersold_nothin_but_blues	album_artist	artist:jamey_abersold
song:o_donel_levy_freedom_good_times	performed_by	artist:o_donel_levy
song:the_supremes_together_we_can_make_such_sweet_music	performed_by	artist:the_supremes
song:dj_krush_only_the_strong_survive_dj_krush	in_key_root	key:Bb
song:bill_withers_harlem	has_genre	genre:soul
album:herbie_hancock_the_spook_who_sat_by_the_door	album_artist	artist:herbie_hancock
album:the_sylvers_ii	album_artist	artist:the_sylvers
song:maxayn_love_is_near	suitable_for	set:cool_down
artist:cut_chemist	artist_genre	genre:hip_hop
song:quincy_jones_main_title	appears_on	album:quincy_jones_the_hot_rock
album:smokey_robinson_the_miracles_a_pocketful_of_miracles	album_artist	artist:smokey_robinson_the_miracles
album:dennis_coffey_goin_for_myself	album_artist	artist:dennis_coffey
song:michael_jackson_wanna_be_startin_something	performed_by	artist:michael_jackson
song:murad_kahlayev_at_the_stadium	suitable_for	set:build
album:george_duke_the_aura_will_prevail	album_artist	artist:george_duke
song:earth_wind_fire_shining_star	has_genre	genre:soul
song:bob_james_women_of_ireland	performed_by	artist:bob_james
song:eddie_harris_drunk_man	performed_by	artist:eddie_harris
album:henry_mancini_revenge_of_the_pink_panther	album_artist	artist:henry_mancini
song:james_brown_bodyheat	has_genre	genre:soul
song:outkast_b_o_b	in_key_root	key:Bb
song:brother_jack_mcduff_come_and_carry_me_home	appears_on	album:brother_jack_mcduff_to_seek_a_new_home
song:headhunters_god_made_me_funky	performed_by	artist:headhunters
song:sugarhill_gang_rapper_s_delight	has_genre	genre:hip_hop
album:mandrill_just_outside_of_town	album_artist	artist:mandrill
song:smokey_robinson_the_miracles_you_ve_got_the_love_i_need	performed_by	artist:smokey_robinson_the_miracles
song:the_stylistics_it_s_too_late	performed_by	artist:the_stylistics
song:act_i_tom_the_peeper	in_key_root	key:Eb
song:zbigniew_namyslowski_when_may_is_in_flower	has_genre	genre:melodiya
song:kev_e_kev_ak_b_listen_to_the_man	performed_by	artist:kev_e_kev_ak_b
song:isaac_hayes_the_red_rooster	has_genre	genre:soul
artist:dj_krush	artist_genre	genre:hip_hop
song:grady_tate_don_t_fence_me_in	has_tempo	tempo:uptempo
song:shorty_long_sing_what_you_wanna	appears_on	album:shorty_long_here_comes_the_judge
song:45_king_meganizm	appears_on	album:45_king_grooves_for_a_quiet_storm
